no	Nama	merk 	BMN	NUP	tahun_perolehan	no_rangka	no_mesin	lokasi 
1	Excavator Mini	Excava 55	3010103001	11	2024	PIN.EX5524.077	E55071	"Standby
Work Shop KM 7"
2	Excavator Mini	Excava 55	3010103001	12	2024	P155ITG038	90174A	"Standby
Work Shop KM 7"
3	Excavator Long Arm	Excava 200 LA	3010103001	9	2024	PINB 20.24.0421	12895992	"Standby
Work Shop KM 7"
4	Excavator Long Arm	Excava 200 LA	3010103001	10	2024	PINB.20.24.0322	12895989	"Standby
Work Shop KM 7"
5	Excavator Standar	Excava 200	3010103001	6	2024	PIN.EXCA 20.23.B0550	B0500	"Standby
Work Shop KM 7"
6	Excavator Standar	Excava 200	3010103001	7	2024	PIN.EXCA 20.23.B0551	B0501	"Standby
Work Shop KM 7"
7	Excavator Standar	Excava 200	3010103001	8	2024	PIN.EXCA 20.23.B0552	B0502	"Standby
Work Shop KM 7"
8	Excavator Long Arm	Excava 200 LA	3010103001	3	2024	PIN.EXCA 20.LA.21.B0018	B0421	"Standby
Work Shop Bendung Perjaya OKU Timur"
9	Excavator Standar	Excava 200	3010103001	13	2024	PIN EXCA 20 24 0473	B 0553	"Standby
Work Shop Bendung Perjaya OKU Timur"
10	Excavator Mini	Excava 55	3010103001	1	2024	"PINEX 55 24 079/ 
PI550F008"	E550079/ A6685 A	"Standby
Work Shop Bendung Perjaya OKU Timur"
11	Excavator Mini	Excava 55	3010103001	2	2024	P1550F011	E550082	"Standby
Work Shop KM 7"
12	Excavator Mini	Excava 55	3010103001	3	2024	P1550F010	A6609A	"Standby
Work Shop KM 7"
13	Excavator Mini	Excava 55	3010103001	4	2024	P1550F009	A6684A	"Standby
Work Shop KM 7"
14	Excavator Standar	Excava 200	3010103001	12	2024	PINB 20 24 0043	B0554	"Standby
Work Shop KM 7"
15	Excavator Standar	Excava 200	3010103001	1	2017	D.35200201010.000 16J10 0047	11882253	Standby Work Shop Pebem
16	Excavator Standar	Excava 200	3010103001	2	2020	PIN.EXCA 20.20.B0421/ PINB 20 20 05 02	11895852	Standby Work Shop Pebem
17	Excavator Long Arm	Excava LA 200	3010103001	4	2023	"PIN.EXCA 23LA 23 50031/
PINB 20-23.0037"	12490025	Standby Work Shop Pebem
18	Ampibi Mini Standar	Sumitomo	3010203999	2	2020	SMT075Y3T00BB2041	4LE-837286	Standby Work Shop Pebem
19	Ampibi Mini Standar	Hyundai	3010203999	3	2022	HJSCE167CN0000700	4TNV98- ZCVHYB	Standby Work Shop Pebem
20	Ampibi Mini Long Arm	Komatsu	3010103001	10	2023	KMTPC238HNMBW YO5/ KMS 2209009	SAA4D95LE-5/ 6271-11-4130	Standby Work Shop Pebem
21	Dump Truck	HINO 115 STD	3010105003	8	2022	MJEACA4F5N5000994	NO4CWVJ1 1870	Standby Rumah Pompa Bendung
22	Dump Truck	HINO 115 STD	3010105003	7	2022	MJEACA4F5N5000994	NO4CWVJ1 185	Standby Rumah Pompa Bendung
23	Dump Truck	Isuzu	3020103002	8	2024	MHCNMR81HRJ120530	G120530	Standby Rumah Pompa Bendung
24	Tronton/ Selfloader	HINO 	3020103001	1	2024	J08EEWDJ3 7430	J08EEWDJ3 7430	Standby workshop KM 7
25	Mobil Pompa	HINO 	3010305999	1	2021	W0441/ TFJ88219	W0441/ TFJ88219	Standby Rumah Pompa Bendung
26	Pompa Potable	KSB 1000	3010305010	13	2017		PT83257*R0 10891B*	Standby Rumah Pompa Bendung
27	Pompa Potable	KSB 1000	3010305010	14	2017		PT83257*R0 10902B*	Standby Rumah Pompa Bendung